SalePrice	SqFeet	Bedrooms	Bathrooms	Air	AirSize	AirBeds	AirBath
535	3588	4	5	1	3588	4	5
640	2705	3	3	1	2705	3	3
600	2344	4	3	1	2344	4	3
582.5	4264	5	4	1	4264	5	4
545	2615	3	3	1	2615	3	3
480	3608	6	4	1	3608	6	4
595	2479	4	4	1	2479	4	4
610	3251	3	4	1	3251	3	4
570	2547	2	3	1	2547	2	3
479	5032	7	3	1	5032	7	3
545	4973	6	6	1	4973	6	6
335	2582	4	3	1	2582	4	3
629	3139	6	4	1	3139	6	4
505.5	3516	4	4	1	3516	4	4
370	2936	4	4	1	2936	4	4
529	3351	5	4	1	3351	5	4
490	3136	4	4	1	3136	4	4
535	3525	4	5	1	3525	4	5
612	3917	6	5	1	3917	6	5
442.5	2702	4	3	1	2702	4	3
500	3644	3	4	1	3644	3	4
539	3072	4	4	1	3072	4	4
545.5	3233	4	4	1	3233	4	4
424	2918	4	4	1	2918	4	4
325	3266	4	3	1	3266	4	3
367	2940	4	7	1	2940	4	7
470	3430	3	4	1	3430	3	4
393	2472	4	4	1	2472	4	4
530	2878	4	4	1	2878	4	4
400	2537	3	3	1	2537	3	3
403.5	3858	4	4	1	3858	4	4
550	2742	3	3	1	2742	3	3
380	3460	5	4	1	3460	5	4
500	3836	5	4	1	3836	5	4
465	4453	7	5	1	4453	7	5
451.5	4080	5	4	1	4080	5	4
336	3301	3	4	1	3301	3	4
550	3828	4	5	1	3828	4	5
450	2973	4	3	1	2973	4	3
440	2821	5	4	1	2821	5	4
515	2950	5	3	1	2950	5	3
415	2362	3	3	1	2362	3	3
380	3092	3	4	1	3092	3	4
489.5	2866	4	4	0	0	0	0
478	3369	5	4	1	3369	5	4
460	3068	4	4	1	3068	4	4
379.9	2380	3	3	1	2380	3	3
390	2225	2	3	1	2225	2	3
338	2655	3	3	1	2655	3	3
675	3855	4	4	1	3855	4	4
440	2892	4	4	1	2892	4	4
500	3832	4	3	1	3832	4	3
470	3164	6	4	1	3164	6	4
317.5	2620	3	2	1	2620	3	2
430	3076	6	4	1	3076	6	4
430	4022	6	4	1	4022	6	4
475	3377	4	3	1	3377	4	3
389	2858	5	4	1	2858	5	4
400	3540	4	4	1	3540	4	4
395	3045	4	3	1	3045	4	3
395	4150	4	3	0	0	0	0
296	1778	2	2	1	1778	2	2
387.5	2412	2	3	1	2412	2	3
353	2668	4	3	1	2668	4	3
350	2274	4	3	1	2274	4	3
437.632	2936	4	3	1	2936	4	3
447.5	2526	2	2	1	2526	2	2
318.5	2449	4	4	1	2449	4	4
352	3131	4	4	1	3131	4	4
295	2536	3	3	1	2536	3	3
313.5	3314	2	3	1	3314	2	3
330	2230	3	2	1	2230	3	2
400	2631	4	4	0	0	0	0
325	2638	4	3	1	2638	4	3
340	2756	4	3	1	2756	4	3
399.9	3262	5	4	1	3262	5	4
249.9	1936	4	4	1	1936	4	4
389	3148	4	4	1	3148	4	4
364.5	2616	3	4	1	2616	3	4
357.5	3630	4	3	1	3630	4	3
295	1954	3	3	1	1954	3	3
274.5	1926	5	3	1	1926	5	3
259	2556	3	2	1	2556	3	2
415	2282	5	4	1	2282	5	4
443	3314	3	4	1	3314	3	4
249	2001	3	3	1	2001	3	3
330	2607	5	2	1	2607	5	2
291	2840	4	4	1	2840	4	4
418	3036	3	5	0	0	0	0
320	2240	4	2	1	2240	4	2
264	1788	3	3	0	0	0	0
381	2620	5	4	1	2620	5	4
250	1480	3	3	1	1480	3	3
360	2588	3	3	1	2588	3	3
369.5	3138	4	4	1	3138	4	4
285.4	2460	5	4	1	2460	5	4
409	3566	4	4	1	3566	4	4
333	2692	5	4	1	2692	5	4
362	2958	5	4	1	2958	5	4
387.5	3164	4	4	1	3164	4	4
239	2058	3	3	1	2058	3	3
299.9	2717	3	4	1	2717	3	4
335	2920	4	3	1	2920	4	3
275	2554	5	3	1	2554	5	3
328	2805	3	4	1	2805	3	4
333	2736	4	3	1	2736	4	3
397	3516	5	7	1	3516	5	7
374.8	3536	6	4	1	3536	6	4
520	2138	5	3	1	2138	5	3
325	2718	4	4	1	2718	4	4
295	2178	5	3	1	2178	5	3
415	3152	5	4	1	3152	5	4
224.9	2611	3	3	1	2611	3	3
265	2060	4	3	1	2060	4	3
299.9	2448	4	4	1	2448	4	4
390	4050	6	5	1	4050	6	5
271	2414	3	3	1	2414	3	3
330	3072	4	3	1	3072	4	3
350	2525	3	3	1	2525	3	3
310	2866	5	3	1	2866	5	3
340	3246	4	4	1	3246	4	4
307	2707	4	4	1	2707	4	4
304	2300	5	3	1	2300	5	3
275.9	1860	3	3	1	1860	3	3
315	3636	5	3	1	3636	5	3
295	1910	4	3	1	1910	4	3
251.01	2280	4	2	1	2280	4	2
335	3386	4	5	0	0	0	0
343.5	2324	5	4	1	2324	5	4
297	1970	4	3	1	1970	4	3
281	2062	3	3	1	2062	3	3
235	2617	4	3	1	2617	4	3
237	2612	4	3	1	2612	4	3
274.9	2472	3	3	1	2472	3	3
229.9	1922	4	2	1	1922	4	2
259	1852	3	2	1	1852	3	2
245	2239	3	3	1	2239	3	3
208	2068	3	2	1	2068	3	2
421	2101	3	3	0	0	0	0
320	2200	4	3	1	2200	4	3
256	1972	3	3	0	0	0	0
275	2007	3	3	1	2007	3	3
222	2612	4	3	1	2612	4	3
249.9	2124	4	1	1	2124	4	1
273.5	2612	4	3	1	2612	4	3
218.5	2548	2	2	1	2548	2	2
377	2767	3	3	1	2767	3	3
220	2025	3	3	1	2025	3	3
192.9	1956	4	2	1	1956	4	2
298.75	2460	4	3	1	2460	4	3
315	2764	3	3	1	2764	3	3
315	2004	4	3	1	2004	4	3
465.9	2852	4	3	1	2852	4	3
239.5	2096	3	3	1	2096	3	3
276	2330	3	3	1	2330	3	3
226	2520	4	3	1	2520	4	3
235	2528	3	3	1	2528	3	3
247	2030	4	3	1	2030	4	3
182	2208	2	2	1	2208	2	2
180	1500	2	1	1	1500	2	1
249	2078	5	3	1	2078	5	3
260	2442	4	3	1	2442	4	3
219.9	2612	3	3	1	2612	3	3
295	2268	4	3	1	2268	4	3
290	2734	4	3	1	2734	4	3
300	2228	4	3	1	2228	4	3
354.9	3000	5	4	1	3000	5	4
261	2404	5	3	1	2404	5	3
174.5	1840	3	2	1	1840	3	2
244.9	2107	3	2	0	0	0	0
274.9	2788	4	3	1	2788	4	3
214	2416	3	3	1	2416	3	3
283	2430	3	4	1	2430	3	4
177.9	1584	3	2	1	1584	3	2
237.5	1873	3	3	1	1873	3	3
202.15	1644	4	3	1	1644	4	3
235	2400	4	3	1	2400	4	3
217	2094	4	3	1	2094	4	3
285	2561	3	3	1	2561	3	3
217.5	1752	3	2	1	1752	3	2
210	1738	5	3	1	1738	5	3
183.34	2068	3	2	1	2068	3	2
252	2428	4	3	1	2428	4	3
237	2090	4	2	1	2090	4	2
205	1820	3	2	1	1820	3	2
285	3219	4	4	1	3219	4	4
210	2654	3	5	1	2654	3	5
280	1802	4	3	1	1802	4	3
207	1765	3	2	1	1765	3	2
221	2786	4	3	1	2786	4	3
257	1794	3	2	1	1794	3	2
274	2768	3	3	0	0	0	0
262	2288	3	2	1	2288	3	2
204.4	2028	3	2	1	2028	3	2
254.9	2620	5	3	1	2620	5	3
244	1644	3	3	1	1644	3	3
213	1888	3	2	1	1888	3	2
240	2116	4	3	1	2116	4	3
235	2313	4	3	1	2313	4	3
206	1824	4	2	1	1824	4	2
237	1942	4	3	1	1942	4	3
274	2184	4	3	1	2184	4	3
275	2578	3	3	1	2578	3	3
218.4	2036	4	3	1	2036	4	3
156	1384	2	1	0	0	0	0
220	1826	4	3	1	1826	4	3
171.5	1681	3	2	1	1681	3	2
180	1726	3	2	1	1726	3	2
204	1910	3	2	1	1910	3	2
307	2664	4	3	1	2664	4	3
265	2116	3	3	1	2116	3	3
209.9	2030	3	3	1	2030	3	3
173	1940	3	2	0	0	0	0
189	1676	3	3	0	0	0	0
222.5	2120	3	2	1	2120	3	2
265	2152	4	3	1	2152	4	3
264.67	1984	4	3	1	1984	4	3
200.75	1575	3	3	1	1575	3	3
227.9	1798	3	3	1	1798	3	3
255	2017	3	1	0	0	0	0
208.5	1904	3	3	1	1904	3	3
226.9	1718	3	3	1	1718	3	3
215	1776	4	2	0	0	0	0
222.95	2609	4	3	1	2609	4	3
239.9	2226	3	3	1	2226	3	3
176	1556	2	1	1	1556	2	1
228	1764	2	2	1	1764	2	2
204.9	1626	3	3	1	1626	3	3
258	2012	5	3	1	2012	5	3
241.85	2090	4	4	1	2090	4	4
198.5	2192	4	2	1	2192	4	2
243	2228	4	4	1	2228	4	4
187	1825	4	2	1	1825	4	2
233	2132	4	3	1	2132	4	3
205	2160	3	2	1	2160	3	2
205	1974	3	2	1	1974	3	2
189	1696	3	3	1	1696	3	3
204.9	2132	3	3	1	2132	3	3
239	1814	4	3	1	1814	4	3
193	1796	3	2	1	1796	3	2
260	2268	5	3	1	2268	5	3
188	1719	2	3	1	1719	2	3
190.5	1704	3	2	1	1704	3	2
230	2142	3	2	1	2142	3	2
240	1705	4	2	1	1705	4	2
235	1752	4	3	1	1752	4	3
275	2554	5	3	1	2554	5	3
205	1650	3	2	1	1650	3	2
280	2816	5	3	1	2816	5	3
190	1919	3	4	1	1919	3	4
232.5	2080	3	2	1	2080	3	2
259.5	2108	4	4	1	2108	4	4
275	2480	3	3	1	2480	3	3
183.9	1746	3	2	1	1746	3	2
290	2703	3	3	0	0	0	0
217.95	1640	4	2	1	1640	4	2
220	2196	4	3	1	2196	4	3
185	1701	3	2	1	1701	3	2
288	2250	3	2	1	2250	3	2
197.5	2502	4	2	1	2502	4	2
179.975	1762	4	3	1	1762	4	3
195	2016	4	3	1	2016	4	3
228.4	1904	3	3	1	1904	3	3
194.75	1652	5	2	1	1652	5	2
195	2042	4	3	0	0	0	0
210	2019	4	3	1	2019	4	3
239.55	2791	5	3	1	2791	5	3
242	2514	4	3	1	2514	4	3
185	1746	3	2	1	1746	3	2
175	1930	3	2	1	1930	3	2
165	1552	3	1	1	1552	3	1
185	1566	4	2	1	1566	4	2
173.194	1669	3	2	1	1669	3	2
205.15	1814	3	3	1	1814	3	3
214.2	1794	3	3	1	1794	3	3
182.5	1691	3	2	1	1691	3	2
205	1834	4	3	1	1834	4	3
208	1984	5	3	1	1984	5	3
225	1966	4	3	1	1966	4	3
170	1669	3	2	1	1669	3	2
216	2132	4	3	1	2132	4	3
180	2007	4	3	1	2007	4	3
169.2	1964	4	2	1	1964	4	2
213	2325	4	3	1	2325	4	3
210	2196	4	3	1	2196	4	3
185	2061	3	2	1	2061	3	2
179.9	1828	3	2	1	1828	3	2
196	1956	4	3	1	1956	4	3
219.9	1852	6	3	1	1852	6	3
159.9	1795	1	2	1	1795	1	2
170	1580	2	1	0	0	0	0
169.9	1708	3	1	0	0	0	0
189.5	1700	4	2	0	0	0	0
195	1742	1	1	1	1742	1	1
215	1890	4	2	1	1890	4	2
171	1512	2	1	0	0	0	0
179.9	1840	3	1	0	0	0	0
120	1060	2	1	0	0	0	0
175	1540	3	2	0	0	0	0
232.9	1550	4	2	1	1550	4	2
229.9	2787	4	2	1	2787	4	2
174.9	1528	2	2	1	1528	2	2
168.9	1928	2	2	0	0	0	0
229.5	2329	3	2	1	2329	3	2
236	1940	4	3	1	1940	4	3
205.5	2114	5	2	1	2114	5	2
212	1799	3	2	1	1799	3	2
205	1864	3	2	1	1864	3	2
193	1581	3	2	1	1581	3	2
180	1652	3	2	1	1652	3	2
184	1592	4	2	0	0	0	0
144.9	1520	3	1	0	0	0	0
255	1792	2	2	1	1792	2	2
137	1464	2	1	0	0	0	0
178	1702	3	2	0	0	0	0
296	2180	3	2	1	2180	3	2
186.5	1486	2	2	1	1486	2	2
170	1364	2	1	0	0	0	0
219	1540	4	2	1	1540	4	2
188	1608	4	2	1	1608	4	2
195.25	1668	3	1	1	1668	3	1
175	1944	3	2	1	1944	3	2
215	1883	4	2	1	1883	4	2
197.5	2215	4	1	0	0	0	0
249.9	1916	2	2	1	1916	2	2
180	1508	2	2	1	1508	2	2
174.9	1809	3	1	1	1809	3	1
189.9	1958	4	3	0	0	0	0
154	1592	2	1	1	1592	2	1
150	1636	2	1	1	1636	2	1
189.9	1800	3	2	0	0	0	0
157	1600	3	1	0	0	0	0
182	1550	3	1	1	1550	3	1
187.65	1578	3	1	1	1578	3	1
175	1644	3	1	1	1644	3	1
189.9	1556	3	2	1	1556	3	2
175	1672	3	1	1	1672	3	1
159.9	1650	2	2	1	1650	2	2
184.9	1676	3	2	0	0	0	0
174.9	1960	2	2	0	0	0	0
143	1649	3	1	1	1649	3	1
164.9	1728	3	1	1	1728	3	1
173.5	1586	3	2	1	1586	3	2
161.8	1592	2	1	0	0	0	0
148	1514	2	2	1	1514	2	2
177	1952	4	2	1	1952	4	2
149.9	1550	3	1	1	1550	3	1
170	1544	2	2	0	0	0	0
142	1566	3	1	0	0	0	0
186.9	1650	3	2	1	1650	3	2
152.9	1392	2	2	0	0	0	0
350	2981	5	4	1	2981	5	4
130	1412	2	1	0	0	0	0
167.9	2180	4	2	0	0	0	0
184.9	1704	2	2	1	1704	2	2
178	1600	3	2	1	1600	3	2
111	1276	3	2	0	0	0	0
207	1666	4	2	0	0	0	0
190	1760	3	2	1	1760	3	2
230	1836	3	2	0	0	0	0
165	1636	3	1	0	0	0	0
210	1748	3	2	1	1748	3	2
226	2556	4	2	0	0	0	0
149.9	1511	4	1	1	1511	4	1
155	1524	3	2	1	1524	3	2
219.9	1821	4	2	1	1821	4	2
132	1596	1	1	0	0	0	0
195	2392	4	2	0	0	0	0
155.9	1748	2	1	1	1748	2	1
119.9	1384	2	1	0	0	0	0
175	1628	3	1	1	1628	3	1
304	1911	4	2	1	1911	4	2
190	1624	4	3	0	0	0	0
229.1	1956	3	2	1	1956	3	2
187.5	2012	4	2	0	0	0	0
173	1590	2	2	1	1590	2	2
170	1687	2	1	1	1687	2	1
179	1816	4	1	1	1816	4	1
162.5	1622	3	1	1	1622	3	1
172	1604	4	2	1	1604	4	2
153.2	1592	4	2	0	0	0	0
220	1922	3	2	1	1922	3	2
174	1892	3	1	1	1892	3	1
200	1628	3	1	1	1628	3	1
161	1644	2	2	1	1644	2	2
135	1450	3	1	1	1450	3	1
190	1592	3	2	1	1592	3	2
153.8	1654	2	1	0	0	0	0
144.9	1388	2	1	1	1388	2	1
165	1670	3	2	0	0	0	0
186	1953	3	2	1	1953	3	2
167	2008	3	1	1	2008	3	1
189.6	1650	3	2	1	1650	3	2
170	1578	3	1	1	1578	3	1
189.5	1618	3	2	1	1618	3	2
153.5	1642	3	1	0	0	0	0
159.9	2008	1	2	1	2008	1	2
158	1604	3	2	1	1604	3	2
175	2035	4	2	1	2035	4	2
147	1534	3	2	0	0	0	0
155	1624	2	2	1	1624	2	2
150	1700	4	2	1	1700	4	2
165	1630	3	2	1	1630	3	2
147	1526	3	2	1	1526	3	2
146.25	1672	3	1	1	1672	3	1
177.5	1588	4	2	1	1588	4	2
153.65	1752	4	2	1	1752	4	2
199.5	1674	4	2	0	0	0	0
186	1980	3	1	0	0	0	0
139.9	1396	1	1	0	0	0	0
160	1178	1	1	0	0	0	0
125	1263	2	2	0	0	0	0
359.9	2377	5	2	1	2377	5	2
184.5	1304	3	1	1	1304	3	1
155	1340	3	1	0	0	0	0
150	1559	2	1	0	0	0	0
146	1412	1	2	1	1412	1	2
129	1198	2	2	1	1198	2	2
145	1424	2	1	1	1424	2	1
200	1370	4	1	0	0	0	0
149.9	1584	3	2	1	1584	3	2
132	1567	2	1	1	1567	2	1
136.9	1409	2	1	0	0	0	0
137	1655	2	1	0	0	0	0
185	1944	3	2	1	1944	3	2
133.5	1922	3	1	0	0	0	0
124	1480	3	2	1	1480	3	2
95.5	1184	2	1	0	0	0	0
